Index,Slot,Conductor,Px,Py,Pz,Gx,Gy,Gz,Tx,Ty,Tz,Nz,S0,S1,VertexArm
1,0,1,-1,0,0,1,0,0,0,-1,0,1,-0.40000000000000002,0.59999999999999998,0
2,1,1,-6.5,-0.59999999999999998,0,1,0,0,0,-1,0,1,0,2,0
3,1,1,-6.5,0.40000000000000002,0,1,0,0,0,-1,0,1,-2,0,0
4,1,2,1.8333333333000001,-0.59999999999999998,0,0,-1,0,-1,0,0,1,-2,1.8333333333000001,0
5,1,1,-3.3571428570999999,-0.59999999999999998,0,0,-1,0,-1,0,0,1,-2,2.3928571429000001,0
6,1,2,1.8333333333000001,0.40000000000000002,0,0,1,0,1,0,0,1,-1.8333333333000001,2,0
7,1,1,-3.3571428570999999,0.40000000000000002,0,0,1,0,1,0,0,1,-2.3928571429000001,2,0
8,1,2,5.5,-0.59999999999999998,0,-1,0,0,0,1,0,1,-2,0,0
9,1,2,5.5,0.40000000000000002,0,-1,0,0,0,1,0,1,0,2,0
10,0,2,0,0,0,-1,0,0,0,1,0,1,-0.59999999999999998,0.40000000000000002,0
