x,y,z,V,triangle
-8.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,1
-3.9002337588000007e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,1
-3.9002337588000007e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,1
-8.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,2
-3.9002337588000007e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,2
-8.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,2
-3.9002337588000007e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,3
-1.9763412185000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,3
-1.9763412185000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,3
-3.9002337588000007e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,4
-1.9763412185000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,4
-3.9002337588000007e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,4
-1.9763412185000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,5
-5.0000000000000000e-01,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,5
-5.0000000000000000e-01,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,5
-1.9763412185000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,6
-5.0000000000000000e-01,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,6
-1.9763412185000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,6
-5.0000000000000000e-01,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,7
1.1576710718999994e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,7
1.1576710718999994e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,7
-5.0000000000000000e-01,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,8
1.1576710718999994e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,8
-5.0000000000000000e-01,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,8
1.1576710718999994e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,9
2.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,9
2.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,9
1.1576710718999994e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,10
2.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,10
1.1576710718999994e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,10
2.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,11
6.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,11
6.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,11
2.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,12
6.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,12
